,almacen
0,6705475.318
1,6576624.803
2,7437264.174
3,8211244.093
4,7651058.084
5,7911936.245
6,8482567.662
7,8275620.18
8,8319868.332
9,8282231.901
10,8282231.901
11,9667850.147
12,7836896.414
13,7699395.381
14,9795952.073
15,8945426.331
16,9171763.803
17,10197523.39
18,10941910.28
19,10804194.91
20,11194772.66
21,11730986.06
22,11863636.2
23,14277710.69
24,11509132.28
25,11400304.63
26,13664374.99
27,14448162.66
28,14391198.42
29,15319207.31
30,15602920.27
31,17125415.37
32,16428217.44
33,17942183.89
34,17296630.39
35,20776781.42
36,17489114.38
37,18718680.52
38,26179704.49
39,23511297.23
40,22865786.67
41,22614018.9
42,23393038.41
43,22018485.45
44,22018485.45
45,23772929.58
46,23577259.62
47,29052388.41
48,24393220.47
49,23633068.01
50,29069610.33
51,29827096.11
52,31328427.63
53,32622021.61
54,34683058.37
55,34500426.75
56,34298836.96
57,37081602.26
58,36354580.02
59,45199914.72
60,37505172.62
61,38209790.62
62,45418860.16
63,49991675.91
64,50150351.46
