,carnes
0,2606192.942
1,2600083.591
2,2824976.726
3,3006158.76
4,2799142.123
5,2883228.762
6,3013143.968
7,2946950.822
8,2991425.025
9,3091846.913
10,3032406.663
11,3674954.1
12,3091349.877
13,3136911.742
14,3635088.654
15,3537305.151
16,3439295.801
17,3786047.216
18,3902397.037
19,4015209.774
20,4200513.124
21,4495750.371
22,4504157.02
23,5446438.436
24,4540700.406
25,4861296.852
26,6187148.574
27,5891682.427
28,5732375.989
29,6000958.162
30,5890360.285
31,6419554.862
32,6359574.893
33,6957491.715
34,7072708.039
35,8877286.117
36,7726181.493
37,8316318.598
38,9503388.959
39,8667536.044
40,8676036.988
41,8376343.244
42,8463266.123
43,8611272.962
44,8411476.062
45,9440006.04
46,9366000.915
47,13502805.48
48,45.0
49,11768651.95
50,13353172.98
51,14047026.36
52,14204902.67
53,14134807.88
54,15147184.63
55,14736387.95
56,14721979.89
57,16349404.55
58,15761449.15
59,21265049.45
60,17408486.73
61,18260738.31
62,20827602.02
63,22877841.24
64,22841532.85
