,otros_medios
0,1716991.073
1,1527488.518
2,1782030.557
3,1909221.374
4,1864714.157
5,2033652.189
6,1930477.521
7,2098727.771
8,2048214.044
9,1082741.605
10,1093173.933
11,1409909.758
12,1125176.058
13,1044013.985
14,1256186.194
15,1254380.943
16,1298209.604
17,1683246.06
18,1446787.388
19,1546973.084
20,1332661.336
21,1502570.944
22,1530240.874
23,1982093.356
24,1517896.757
25,1464584.101
26,1673185.771
27,1630779.815
28,1678749.473
29,1685301.948
30,1690975.835
31,2100804.851
32,1839128.726
33,2258229.708
34,2218080.261
35,2859088.144
36,2322351.557
37,2592663.181
38,3107850.463
39,3336033.666
40,4222823.826
41,4298917.238
42,4492515.904
43,4710872.144
44,4542810.416
45,5056938.047
46,5238654.451
47,6662054.394
48,5225838.555
49,4662749.261
50,5553760.201
51,5801873.388
52,6632776.246
53,6840933.135
54,6811495.634
55,6982561.109
56,6900208.91
57,7306784.95
58,7261581.669
59,8911251.213
60,7452508.718
61,6922148.759
62,7940040.869
63,10.0
64,8944251.942
